method,args,client_zone,server_zone,value,status,wait_ms,exec_ms,turn_ms,total_ms,start_ms,end_ms
getPopulationofCountry,Togo,1,1,1565638,OK,0,80,162,218,1758221293394,1758221293612
getPopulationofCountry,Suriname,5,5,316458,OK,0,80,162,216,1758221293613,1758221293830
getPopulationofCountry,Guatemala,5,5,6340891,OK,0,90,172,227,1758221293830,1758221294058
getPopulationofCountry,Brazil,2,2,134594036,OK,0,80,162,219,1758221294059,1758221294278
getPopulationofCountry,Brazil,2,2,134594036,OK,0,80,161,214,1758221294278,1758221294492
getPopulationofCountry,Brazil,2,2,134594036,OK,0,80,162,219,1758221294493,1758221294712
getPopulationofCountry,Brazil,2,2,134594036,OK,0,80,162,220,1758221294713,1758221294933
getPopulationofCountry,Indonesia,2,2,64035243,OK,0,92,174,231,1758221294934,1758221295166
getPopulationofCountry,Panama,1,1,2501302,OK,0,91,173,229,1758221295167,1758221295397
getPopulationofCountry,Paraguay,3,3,3988332,OK,0,82,164,220,1758221295398,1758221295619
getPopulationofCountry,Norway,5,5,3162856,OK,0,90,172,225,1758221295619,1758221295845
getPopulationofCountry,Norway,5,5,3162856,OK,0,80,162,217,1758221295845,1758221296063
getPopulationofCountry,Slovenia,1,1,1182883,OK,0,91,173,226,1758221296063,1758221296290
getPopulationofCountry,Kyrgyzstan,2,2,1930662,OK,0,81,163,219,1758221296290,1758221296510
getPopulationofCountry,Kyrgyzstan,2,2,1930662,OK,0,80,161,214,1758221296511,1758221296725
getPopulationofCountry,Kyrgyzstan,2,2,1930662,OK,0,80,162,219,1758221296726,1758221296945
getPopulationofCountry,Guam,5,5,184225,OK,0,83,165,221,1758221296945,1758221297167
getPopulationofCountry,Ireland,3,3,3907506,OK,0,89,171,227,1758221297167,1758221297395
getPopulationofCountry,Ireland,3,3,3907506,OK,0,80,161,214,1758221297396,1758221297611
getPopulationofCountry,Guadeloupe,4,4,374575,OK,0,81,163,219,1758221297611,1758221297831
getPopulationofCountry,Swaziland,4,4,276340,OK,0,80,162,215,1758221297831,1758221298046
getPopulationofCountry,Slovenia,2,2,1182883,OK,0,90,172,227,1758221298047,1758221298275
getPopulationofCountry,Tuvalu,5,5,8249,OK,0,83,165,221,1758221298275,1758221298497
getPopulationofCountry,Tuvalu,5,5,8249,OK,0,80,162,217,1758221298497,1758221298714
getPopulationofCountry,Tuvalu,5,5,8249,OK,0,80,162,218,1758221298715,1758221298934
getPopulationofCountry,Tuvalu,5,5,8249,OK,0,80,164,220,1758221298934,1758221299154
getPopulationofCountry,Croatia,2,2,3157852,OK,0,90,173,227,1758221299155,1758221299382
getPopulationofCountry,Bahamas,4,4,357957,OK,0,80,162,219,1758221299383,1758221299602
getPopulationofCountry,Comoros,3,3,361020,OK,0,90,172,226,1758221299603,1758221299829
getPopulationofCountry,Panama,3,3,2501302,OK,0,83,164,218,1758221299830,1758221300048
getPopulationofCountry,Panama,3,3,2501302,OK,0,80,162,218,1758221300049,1758221300267
getPopulationofCountry,Tajikistan,1,1,1907246,OK,0,80,162,214,1758221300267,1758221300482
getPopulationofCountry,Guatemala,3,3,6340891,OK,0,80,161,216,1758221300482,1758221300699
getPopulationofCountry,Guatemala,3,3,6340891,OK,0,80,161,214,1758221300699,1758221300914
getPopulationofCountry,Guatemala,3,3,6340891,OK,0,80,162,217,1758221300914,1758221301132
getPopulationofCountry,Greenland,1,1,44135,OK,0,83,164,217,1758221301133,1758221301350
getPopulationofCountry,Oman,1,1,2579609,OK,0,88,169,223,1758221301351,1758221301574
getPopulationofCountry,Oman,1,1,2579609,OK,0,80,161,213,1758221301574,1758221301788
getPopulationofCountry,Uganda,1,1,3645095,OK,0,80,162,218,1758221301789,1758221302008
getPopulationofCountry,Indonesia,4,4,64035243,OK,0,92,173,226,1758221302008,1758221302235
getPopulationofCountry,Belarus,3,3,7097388,OK,0,88,170,226,1758221302235,1758221302462
getPopulationofCountry,Swaziland,1,1,276340,OK,0,80,162,216,1758221302462,1758221302679
getPopulationofCountry,Swaziland,1,1,276340,OK,0,80,162,218,1758221302679,1758221302898
getPopulationofCountry,Swaziland,1,1,276340,OK,0,80,162,217,1758221302898,1758221303116
getPopulationofCountry,Swaziland,1,1,276340,OK,0,80,162,219,1758221303117,1758221303336
getPopulationofCountry,,3,,,INVALID,,,57,1758221303337,1758221303395
getPopulationofCountry,China,3,3,673504000,OK,0,83,164,217,1758221303421,1758221303639
getPopulationofCountry,"Equatorial Guinea",5,5,447039,OK,0,80,161,213,1758221303639,1758221303853
getPopulationofCountry,Slovenia,5,5,1182883,OK,0,89,172,227,1758221303854,1758221304082
getPopulationofCountry,Slovenia,5,5,1182883,OK,0,80,161,214,1758221304082,1758221304297
getPopulationofCountry,Portugal,4,4,8652407,OK,0,89,170,226,1758221304298,1758221304525
getPopulationofCountry,"United States",4,4,266998322,OK,0,80,162,214,1758221304525,1758221304740
getPopulationofCountry,"United States",4,4,266998322,OK,0,80,162,217,1758221304740,1758221304958
getPopulationofCountry,"United States",4,4,266998322,OK,0,80,162,214,1758221304958,1758221305173
getPopulationofCountry,Romania,3,3,24859223,OK,0,95,177,233,1758221305173,1758221305407
getPopulationofCountry,"French Guiana",2,2,189578,OK,0,90,172,228,1758221305408,1758221305637
getPopulationofCountry,"French Guiana",2,2,189578,OK,0,80,162,218,1758221305637,1758221305856
getPopulationofCountry,Gambia,4,4,736951,OK,0,83,165,221,1758221305857,1758221306078
getPopulationofCountry,Ghana,1,1,7287342,OK,0,81,161,216,1758221306079,1758221306295
getPopulationofCountry,Togo,2,2,1565638,OK,0,88,169,222,1758221306295,1758221306518
getPopulationofCountry,Kuwait,1,1,1698635,OK,0,88,168,221,1758221306518,1758221306739
getPopulationofCountry,Kuwait,1,1,1698635,OK,0,80,163,216,1758221306740,1758221306957
getPopulationofCountry,Kuwait,1,1,1698635,OK,0,80,161,217,1758221306957,1758221307175
getPopulationofCountry,Kuwait,1,1,1698635,OK,0,80,163,219,1758221307175,1758221307395
getPopulationofCountry,Indonesia,5,5,64035243,OK,0,93,175,230,1758221307396,1758221307626
getPopulationofCountry,Bolivia,5,5,7348242,OK,0,82,164,219,1758221307627,1758221307846
getPopulationofCountry,Suriname,2,2,316458,OK,0,90,172,229,1758221307847,1758221308076
getPopulationofCountry,Belgium,2,2,15411242,OK,0,80,163,219,1758221308076,1758221308296
getPopulationofCountry,Belgium,2,2,15411242,OK,0,80,161,217,1758221308297,1758221308514
getPopulationofCountry,Philippines,3,3,61881622,OK,0,94,176,233,1758221308515,1758221308748
getPopulationofCountry,Ireland,3,3,3907506,OK,0,80,161,214,1758221308749,1758221308964
getPopulationofCountry,Ireland,3,3,3907506,OK,0,80,162,217,1758221308964,1758221309182
getPopulationofCountry,Ireland,3,3,3907506,OK,0,80,162,214,1758221309182,1758221309397
getPopulationofCountry,Belgium,2,2,15411242,OK,0,80,162,218,1758221309398,1758221309617
getPopulationofCountry,Senegal,4,4,5996338,OK,0,82,165,221,1758221309618,1758221309840
getPopulationofCountry,Senegal,4,4,5996338,OK,0,80,162,217,1758221309840,1758221310058
getPopulationofCountry,Poland,5,5,29145131,OK,0,93,175,231,1758221310059,1758221310290
getPopulationofCountry,Comoros,2,2,361020,OK,0,88,170,225,1758221310291,1758221310517
getPopulationofCountry,Greece,2,2,8833274,OK,0,80,162,216,1758221310517,1758221310734
getPopulationofCountry,Guadeloupe,5,5,374575,OK,0,80,161,217,1758221310734,1758221310952
getPopulationofCountry,Guadeloupe,5,5,374575,OK,0,80,161,213,1758221310952,1758221311166
getPopulationofCountry,Guadeloupe,5,5,374575,OK,0,80,161,214,1758221311166,1758221311381
getPopulationofCountry,Guadeloupe,5,5,374575,OK,0,80,161,213,1758221311381,1758221311594
getPopulationofCountry,Turkey,4,4,63717971,OK,0,80,161,215,1758221311595,1758221311810
getPopulationofCountry,Sweden,5,5,9362428,OK,0,91,174,227,1758221311810,1758221312038
getPopulationofCountry,Switzerland,2,2,7375148,OK,0,92,174,230,1758221312039,1758221312269
getPopulationofCountry,Tonga,1,1,49007,OK,0,83,165,221,1758221312270,1758221312492
getPopulationofCountry,Tonga,1,1,49007,OK,0,80,161,217,1758221312492,1758221312709
getPopulationofCountry,Honduras,2,2,3328228,OK,0,80,163,217,1758221312710,1758221312928
getPopulationofCountry,Ukraine,3,3,32847337,OK,0,93,176,233,1758221312928,1758221313162
getPopulationofCountry,Ukraine,3,3,32847337,OK,0,80,162,217,1758221313162,1758221313380
getPopulationofCountry,Ukraine,3,3,32847337,OK,0,80,161,213,1758221313380,1758221313594
getPopulationofCountry,Guyana,4,4,369776,OK,0,82,165,220,1758221313595,1758221313815
getPopulationofCountry,Comoros,1,1,361020,OK,0,90,172,228,1758221313816,1758221314044
getPopulationofCountry,Comoros,1,1,361020,OK,0,80,162,217,1758221314045,1758221314263
getPopulationofCountry,Belgium,5,5,15411242,OK,0,80,162,217,1758221314264,1758221314482
