# Columns: result|ERROR method args Zone:N ServerZone:Z WaitMs ExecMs TurnMs TotalMs [errorType]
276340 getPopulationofCountry Swaziland Zone:4 ServerZone:5 WaitMs:0 ExecMs:2 TurnMs:86 TotalMs:125
1182883 getPopulationofCountry Slovenia Zone:2 ServerZone:3 WaitMs:0 ExecMs:2 TurnMs:85 TotalMs:126
8249 getPopulationofCountry Tuvalu Zone:5 ServerZone:1 WaitMs:0 ExecMs:1 TurnMs:83 TotalMs:211
8249 getPopulationofCountry Tuvalu Zone:5 ServerZone:1 WaitMs:0 ExecMs:1 TurnMs:84 TotalMs:211
3157852 getPopulationofCountry Croatia Zone:2 ServerZone:3 WaitMs:0 ExecMs:0 TurnMs:99 TotalMs:134
357957 getPopulationofCountry Bahamas Zone:4 ServerZone:5 WaitMs:0 ExecMs:1 TurnMs:84 TotalMs:120
8249 getPopulationofCountry Tuvalu Zone:5 ServerZone:1 WaitMs:0 ExecMs:1 TurnMs:83 TotalMs:211
8249 getPopulationofCountry Tuvalu Zone:5 ServerZone:1 WaitMs:0 ExecMs:1 TurnMs:84 TotalMs:210
361020 getPopulationofCountry Comoros Zone:3 ServerZone:5 WaitMs:0 ExecMs:1 TurnMs:83 TotalMs:149
2501302 getPopulationofCountry Panama Zone:3 ServerZone:5 WaitMs:0 ExecMs:1 TurnMs:84 TotalMs:150
2501302 getPopulationofCountry Panama Zone:3 ServerZone:5 WaitMs:0 ExecMs:13 TurnMs:96 TotalMs:164
1907246 getPopulationofCountry Tajikistan Zone:1 ServerZone:2 WaitMs:0 ExecMs:3 TurnMs:86 TotalMs:122
6340891 getPopulationofCountry Guatemala Zone:3 ServerZone:5 WaitMs:0 ExecMs:1 TurnMs:83 TotalMs:152
6340891 getPopulationofCountry Guatemala Zone:3 ServerZone:5 WaitMs:0 ExecMs:2 TurnMs:85 TotalMs:151
